1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2024-12-31T12:52:53-08:00",
Input File Name:,,,"Bressi Ranch Apartments",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"Parking_Trash 02_L01-zn",Unconditioned,768.3,0,452.947,0,768.3,0,0,0,0,0,1062.47,3073.2,948.269,0,768.3,
"Parking_Utility_L01-zn",Unconditioned,597.84,0,221.004,0,597.84,0,0,0,0,0,690.214,2391.36,1010.93,0,597.84,
"Parking_Vestibule 1_L01-zn",Unconditioned,195.775,0,0,0,195.775,0,0,0,0,0,46.8501,783.1,689.4,0,195.775,
"Pool Equipment_L01-zn",Unconditioned,242.943,0,554.649,0,242.943,242.943,0,0,0,0,385.844,971.772,200.085,0,0,
"Restroom 01_L01-zn",Unconditioned,95.9597,0,0,0,95.9597,0,0,0,0,0,0,383.839,474.176,0,95.9597,
"Restroom 02_L01-zn",Unconditioned,98.5564,0,0,0,98.5564,0,0,0,0,0,0,394.226,480.242,0,98.5564,
"Stair 1_L01-zn",Unconditioned,357.47,0,130.276,0,357.47,0,0,0,0,0,249.169,1429.88,931.542,0,357.47,
"Stair 2_L01-zn",Unconditioned,271.999,0,0,0,271.999,0,0,0,0,0,81.2593,1088,925.477,0,271.999,
"Stair 3_L01-zn",Unconditioned,396.594,0,152.814,0,396.594,92.6757,0,0,0,0,337.853,1586.38,910.67,0,303.918,
"Stair 4_L01-zn",Unconditioned,340.646,0,184.976,0,340.646,90.984,0,0,0,0,261.733,1362.58,839.118,0,249.662,
"Stair 5_L01-zn",Unconditioned,496.484,0,248.529,0,496.484,0,0,0,0,0,538.303,1985.94,909.331,0,496.484,
"Stair 6_L01-zn",Unconditioned,319.199,0,175.498,0,319.199,0,0,0,0,0,227.666,1276.8,821.464,0,319.199,
"Storage 01_L01-zn",Unconditioned,145.629,0,0,0,145.629,0,0,0,0,0,0,582.516,704.069,0,145.629,
"Storage 02_L01-zn",Unconditioned,142.865,0,0,0,142.865,0,0,0,0,0,0,571.46,697.357,0,142.865,
"Storage 03_L01-zn",Unconditioned,116.934,0,0,0,116.934,0,0,0,0,0,0,467.736,687.814,0,116.934,
"Storage 04_L01-zn",Unconditioned,145.629,0,0,0,145.629,0,0,0,0,0,0,582.516,704.069,0,145.629,
"Storage 05_L01-zn",Unconditioned,142.635,0,0,0,142.635,0,0,0,0,0,0,570.54,696.796,0,142.635,
"Storage 06_L01-zn",Unconditioned,499.085,0,281.573,0,499.085,53.1852,0,0,0,0,438.314,1996.34,1119.71,0,445.9,
"Storage 07_L01-zn",Unconditioned,44.0225,0,0,0,44.0225,0,0,0,0,0,0,176.09,352.95,0,44.0225,
"Storage 08_L01-zn",Unconditioned,142.868,0,0,0,142.868,0,0,0,0,0,0,571.472,697.361,0,142.868,
"Storage 09_L01-zn",Unconditioned,139.518,0,0,0,139.518,0,0,0,0,0,0,558.072,689.141,0,139.518,
"Storage 10_L01-zn",Unconditioned,114.565,0,0,0,114.565,0,0,0,0,0,0,458.26,689.114,0,114.565,
"Storage 11_L01-zn",Unconditioned,31.5717,0,0,0,31.5717,0,0,0,0,0,0,126.287,326.623,0,31.5717,
"Storage 12_L01-zn",Unconditioned,67.9578,0,169.512,0,67.9578,0,0,0,0,0,21.2489,271.831,229.334,0,67.9578,
"Women Restroom_L01-zn",Unconditioned,189.14,0,471.049,0,189.14,189.14,0,0,0,0,252.77,756.56,251.019,0,0,
"Corridor_L02-zn",Unconditioned,13175.3,1,4239.85,206.667,0,562.323,0,0,0,0,10462.2,52701.2,33309.6,12409,12613,
"Elec. Room 01_L02-zn",Directly Conditioned,59.8302,0,0,0,0,0,0,0,0,0,0,239.321,344.691,59.8302,59.8304,
"Elec. Room 02_L02-zn",Directly Conditioned,70.9752,0,0,0,0,0,0,0,0,0,0,283.901,409.745,70.9752,70.9752,
"Elec. Room 03_L02-zn",Directly Conditioned,71.8456,0,0,0,0,0,0,0,0,0,23.1672,287.382,241.048,71.8456,71.8456,
"Elec. Room 04_L02-zn",Directly Conditioned,71.0158,0,0,0,0,0,0,0,0,0,21.5046,284.063,241.054,71.0158,71.0158,
